"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"Philosophy Theory and Practice in Biology","general","Michigan publishing","Non-profit","diamond_OA","University of Michigan","Uni/Gov","https://journals.publishing.umich.edu/ptpbio/","0","","none"
"PLoS Biology","general","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/plosbiology/","5069","3.928","PCI friendly"
"PLoS ONE","general","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/plosone/","1779","0.852","PCI friendly"
"PNAS nexus","general","Oxford University Press","University Press","OA","National Academy of Sciences","Society","https://academic.oup.com/pnasnexus","3688","","none"
"Proceedings of the National Academy of Sciences of the USA","general","National Academy of Sciences","Non-profit","hybrid","National Academy of Sciences","Uni/Gov","https://www.pnas.org/","4603","4.184","none"
"Proceedings of the Royal Society B - Biological Sciences","general","The Royal Society","Non-profit","hybrid","The Royal Society","Society","https://royalsocietypublishing.org/journal/rspb","2040","1.987","none"
"Revista de Biologia Tropical","general","Editorial de la Universidad de Costa Rica","University Press","diamond_OA","University of Costa Rica","Uni/Gov","https://revistas.ucr.ac.cr/index.php/rbt/about","0","0.305","none"
"Royal Society Open Science","general","The Royal Society","Non-profit","OA","The Royal Society","Society","https://royalsocietypublishing.org/journal/rsos","1440","0.758","none"
"Science","general","American Association for the Advancement of Science","Non-profit","subscription","American Association for the Advancement of Science","Society","https://www.sciencemag.org/","","14.589","none"
"Science Advances","general","American Association for the Advancement of Science","Non-profit","OA","American Association for the Advancement of Science","Society","https://advances.sciencemag.org/","4147","4.586","none"
"Wellcome Open Research","general","Faculty of 1000 Research Limited","For-profit","OA","Wellcome","other","https://wellcomeopenresearch.org/","1126","1.348","none"
"Annual Review of Genetics","genetics","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/genet","","7.34","none"
"Annual Review of Genomics and Human Genetics","genetics","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/genom","","5.196","none"
"EMBO Reports","genetics","EMBO Press","Non-profit","hybrid","European Molecular Biology Organisation","Non-profit","https://www.embopress.org/journal/14693178","5900","3.273","none"
"European Journal of Human Genetics","genetics","Nature","For-profit","hybrid","European Society of Human Genetics","Society","https://www.nature.com/ejhg/","2990","1.713","none"
"G3 - Genes Genomes Genetics","genetics","Oxford University Press","University Press","OA","Genetics Society of America","Society","https://academic.oup.com/g3journal","2379","1.468","PCI friendly"
"Genetics","genetics","Oxford University Press","University Press","hybrid","Genetics Society of America","Society","https://academic.oup.com/genetics","3932","2.212","PCI friendly"
"Genome Biology and Evolution","genetics","Oxford University Press","University Press","OA","Society for Molecular Biology and Evolution","Society","https://academic.oup.com/gbe","2503","1.702","none"
"Genome Research","genetics","Cold Spring Harbor Laboratory Press","Non-profit","hybrid","Cold Spring Harbor Laboratory","Non-profit","https://genome.cshlp.org/","3400","5.707","none"
"Heredity","genetics","Nature","For-profit","hybrid","Genetics Society","Society","https://www.nature.com/hdy/","3060","1.107","none"
"Journal of Heredity","genetics","Oxford University Press","University Press","hybrid","American Genetic Association","Society","https://academic.oup.com/jhered","3006","0.869","none"
"Journal of Proteomics","genetics","Elsevier","For-profit","hybrid","European Proteomics Association","Society","https://www.sciencedirect.com/journal/journal-of-proteomics","3450","","none"
"Mammalian Genome","genetics","Springer","For-profit","hybrid","International Mammalian Genome Society","Society","https://www.springer.com/journal/335","2690","1.016","none"
"Molecular Biology and Evolution","genetics","Oxford University Press","University Press","OA","Society for Molecular Biology and Evolution","Society","https://academic.oup.com/mbe","3002","5.341","none"
"Peer Community in Genomics","genetics","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://genomics.peercommunityin.org/about/about","0","","PCI"
"PLoS Computational Biology","genetics","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/ploscompbiol/","2617","1.96","none"
"PLoS Genetics","genetics","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/plosgenetics/","2617","2.7","none"
"Acta Parasitologica","health","Springer","For-profit","hybrid","W. Stefanski Institute of Parasitology of the Polish Academy of Sciences","Society","https://www.springer.com/journal/11686","2390","0.439","none"
"Clinical Microbiology and Infection","health","Elsevier","For-profit","hybrid","European Society of Clinical Microbiology and Infectious Diseases","Society","https://www.clinicalmicrobiologyandinfection.com/","3450","3.6","none"
"Ecohealth","health","Springer","For-profit","hybrid","EcoHealth Alliance","other","https://www.springer.com/journal/10393","2790","0.916","none"
"Emerging Infectious Diseases","health","Centers for Disease Control and Prevention","Non-profit","diamond_OA","Centers for Disease Control and Prevention","other","https://wwwnc.cdc.gov/eid/","0","3.05","none"
"Eurosurveillance","health","European Centre for Disease Prevention and Control","Non-profit","diamond_OA","European Centre for Disease Prevention and Control","Uni/Gov","https://www.eurosurveillance.org/","0","4.145","none"
"Evolution Medicine and Public Health","health","Oxford University Press","University Press","OA","International Society for Evolution Medicine and Public Health","Society","https://academic.oup.com/emph","3200","0.945","none"
"Folia Parasitologica","health","Czech Academy of Sciences","Non-profit","OA","Czech Academy of Sciences","Uni/Gov","https://folia.paru.cas.cz/","200","0.498","none"
"GeoHealth","health","Wiley","","OA","American Geophysical Union (AGU)","Society","https://agupubs.onlinelibrary.wiley.com/journal/24711403","1653","1.179","none"
"International Journal for Parasitology","health","Elsevier","For-profit","hybrid","Australian Society for Parasitology","Society","https://www.journals.elsevier.com/international-journal-for-parasitology","2299","1.03","none"
"International Journal for Parasitology: Parasites and Wildlife","health","Elsevier","For-profit","hybrid","Australian Society for Parasitology","Society","https://www.journals.elsevier.com/international-journal-for-parasitology-parasites-and-wildlife","1775","0.627","none"
"International Journal of Epidemiology","health","Oxford University Press","University Press","hybrid","International Epidemiological Association","Non-profit","https://academic.oup.com/ije","3634","2.835","none"
"International Journal of Infectious Diseases","health","Elsevier","For-profit","hybrid","International Society for Infectious Diseases","Society","https://www.journals.elsevier.com/international-journal-of-infectious-diseases","2300","2.006","none"
"Journal of Global Health","health","Edinburgh University Global Health Society","Non-profit","OA","Edinburgh University Global Health Society","Society","http://www.jogh.org/","1100","1.286","none"
"Journal of Medical Entomology","health","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/jme","1225","0.67","none"
"Journal of Parasitology","health","Allen Press","For-profit","OA","American Society of Parasitologists","Society","https://meridian.allenpress.com/journal-of-parasitology","1012","0.473","none"
"Journal of Vector Ecology","health","Wiley","For-profit","OA","Society for Vector Ecology","Society","https://onlinelibrary.wiley.com/journal/19487134","506","0.456","none"
"Journal of Virology","health","American Society for Microbiology","Non-profit","hybrid","American Society for Microbiology","Society","https://jvi.asm.org/","2590","1.795","none"
"Journal of Wildlife Diseases","health","Wildlife Disease Association","Non-profit","hybrid","Wildlife Disease Association","Society","https://www.jwildlifedis.org/","1453","0.441","none"
"Journals of Gerontology: Series A","health","Oxford University Press","University Press","hybrid","The Gerontological Society of America","Society","https://academic.oup.com/biomedgerontology","3859","1.703","none"
"Medical and Veterinary Entomology","health","Wiley","For-profit","hybrid","Royal Entomological Society","Society","https://www.royensoc.co.uk/shop/publications/journals/medical-and-veterinary-entomology/","3100","0.644","none"
"Mycopathologia","health","Springer","For-profit","hybrid","International Union of Microbiological Societies","Society","https://www.springer.com/journal/11046","2890","0.771","none"
"One Health","health","Elsevier","For-profit","OA","International Federation for Tropical Medicine","Society","https://www.sciencedirect.com/journal/one-health","2121","1.015","none"
"Parasite","health","EDP Science","For-profit","OA","EDP Science","Non-profit","https://www.parasite-journal.org","1200","0.803","none"
"Parasites Hosts and Diseases","health","The Korean Society for Parasitology and Tropical Medicine","University Press","OA","The Korean Society for Parasitology and Tropical Medicine","Society","https://www.parahostdis.org/authors/authors.php","920","0.635","none"
"Parasitology International","health","Elsevier","For-profit","OA","Japanese Society of Parasitology","Society","https://www.sciencedirect.com/journal/parasitology-international","2296","0.557","none"
"Peer Community in Health and Movement Science","health","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://genomics.peercommunityin.org/about/about","0","","PCI"
"Peer Community in Infections","health","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://genomics.peercommunityin.org/about/about","0","","PCI"
"PLoS Neglected Tropical Diseases","health","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/plosntds/","2453","1.298","none"
"PLoS Pathogens","health","Public Library of Sciences","Non-profit","OA","Public Library of Sciences","Non-profit","https://journals.plos.org/plospathogens/","2610","2.49","none"
"Transboundary and Emerging Diseases","health","Wiley / Hindawi","For-profit","OA","Society for Tropical Veterinary Medicine","Society","https://onlinelibrary.wiley.com/journal/18651682","2295","0.99","none"
"Tropical Medicine and Infectious Disease","health","MDPI","For-profit","OA","Australasian College of Tropical Medicine","Society","https://www.mdpi.com/journal/tropicalmed","2047","0.825","none"
"Animal","organisms","Elsevier","For-profit","OA","British Society of Animal Science /  European Association for Animal Production / INRAE","Society","https://bsas.org.uk/publications/animal","1400","0.834","PCI friendly"
"Annual Review of Animal Biosciences","organisms","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/animal","","2.62","none"
"Journal of Animal Science","organisms","Oxford University Press","University Press","hybrid","American Society of Animal Science","Society","https://academic.oup.com/jas","2700","0.854","none"
"Journal of Zoology","organisms","Wiley","For-profit","hybrid","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/14697998","3250","0.699","none"
"Acarologia","organisms","INRAE","Non-profit","diamond_OA","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","Uni/Gov","https://www1.montpellier.inra.fr/CBGP/acarologia/index.php","0","0.72","PCI friendly"
"African Entomology","organisms","Khulisa Journals","Non-profit","OA","Entomological Society of Southern Africa","Society","https://www.africanentomology.com/","490","0.434","none"
"African Invertebrates","organisms","Pensoft","For-profit","OA","KwaZulu-Natal Museum","Museum","https://africaninvertebrates.pensoft.net/","300","0.253","none"
"Alpine Entomology","organisms","Pensoft","For-profit","OA","Swiss Entomological Society","Society","https://alpineentomology.pensoft.net/","409","0.458","none"
"Annales de la Societe Entomologique de France","organisms","Taylor & Francis","For-profit","hybrid","Societe Entomologique de France","Society","https://www.tandfonline.com/toc/tase20/current","3190","0.484","none"
"Annals of the Entomological Society of America","organisms","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/aesa","1184","0.492","none"
"Annual Review of Entomology","organisms","Annual Reviews","Non-profit","diamond_OA","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/ento","","6.09","none"
"Arachnology","organisms","British Arachnological Society","Non-profit","subscription","British Arachnological Society","Society","https://www.britishspiders.org.uk/arachnology","","0.45","none"
"Bee World","organisms","Taylor & Francis","For-profit","hybrid","International Bee Research Association","Non-profit","https://www.tandfonline.com/journals/tbee20","2895","","none"
"Bulletin de la Societe Entomologique de France","organisms","Societe Entomologique de France","Non-profit","subscription","Societe Entomologique de France","Society","https://lasef.org/publications/le-bulletin-de-la-sef/","","","none"
"Canadian Entomologist","organisms","Cambridge University Press","University Press","hybrid","Entomological Society of Canada","Society","https://esc-sec.ca/publications/the-canadian-entomologist/","2891","0.354","none"
"Coleopterists Bulletin","organisms","The Coleopterists Society","Non-profit","subscription","The Coleopterists Society","Society","https://www.coleopsoc.org/the-coleopterists-bulletin/","","0.298","none"
"Coral Reefs","organisms","Springer","For-profit","hybrid","International Coral Reef Society","Society","https://www.springer.com/journal/338","3060","1.185","none"
"Ecological Entomology","organisms","Wiley","For-profit","hybrid","Royal Entomological Society","Society","https://onlinelibrary.wiley.com/journal/13652311","3500","0.726","none"
"Entomologia Experimentalis et Applicata","organisms","Wiley","For-profit","hybrid","Netherlands Entomological Society","Society","https://onlinelibrary.wiley.com/journal/15707458","3500","0.645","none"
"Environmental Entomology","organisms","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/ee","3651","0.62","none"
"European Journal of Entomology","organisms","Czech Academy of Sciences","Non-profit","OA","Czech Academy of Sciences","Uni/Gov","https://www.eje.cz/","200","0.361","none"
"Fragmenta Entomologica","organisms","Riviste Online Sapienza","Non-profit","diamond_OA","Sapienza University of Rome","Uni/Gov","https://rosa.uniroma1.it/rosa02/fragmenta_entomologica/","0","0.299","none"
"Helminthologia","organisms","De Gruyter","For-profit","OA","Slovak Academy of Sciences","Uni/Gov","https://pau.saske.sk/helm/","350","0.336","none"
"Insect Conservation & Diversity","organisms","Wiley","For-profit","hybrid","Royal Entomological Society","Society","https://onlinelibrary.wiley.com/journal/17524598","3600","1.182","none"
"Insect Molecular Biology","organisms","Wiley","For-profit","hybrid","Royal Entomological Society","Society","https://onlinelibrary.wiley.com/journal/13652583","3150","0.915","none"
"Insectes Sociaux","organisms","Springer","For-profit","hybrid","International Union for the Study of Social Insects","Society","https://www.springer.com/journal/40","2690","0.576","none"
"Journal of Arachnology","organisms","American Arachnological Society","Non-profit","hybrid","Americal Arachnological Society","Society","https://www.americanarachnology.org/journal-joa/","691","0.548","none"
"Journal of Crustacean Biology","organisms","Oxford University Press","University Press","hybrid","The Crustacean Society","Society","https://academic.oup.com/jcb","3569","0.432","none"
"Journal of Hymenoptera Research","organisms","PenSoft","For-profit","OA","The International Society of Hymenopterists","Society","https://jhr.pensoft.net/","700","0.45","none"
"Journal of Insect Science","organisms","Oxford University Press","University Press","OA","Entomological Society of America","Society","https://academic.oup.com/jinsectscience","1814","0.502","none"
"Journal of Molluscan Studies","organisms","Oxford University Press","University Press","hybrid","Malacological Society of London","Society","https://academic.oup.com/mollus","3083","0.354","none"
"Journal of Orthoptera Research","organisms","PenSoft","For-profit","OA","The Orthopterists' Society","Society","https://jor.pensoft.net/","138","0.23","none"
"Journal of the Lepidopterists' Society","organisms","The Lepidopterists' Society","Non-profit","subscription","The Lepidopterists' Society","Society","https://www.lepsoc.org/content/journal","","0.264","none"
"Malacologia","organisms","Institute of Malacology","Non-profit","subscription","Institute of Malacology","Non-profit","https://instituteofmalacology.org/","","0.21","none"
"Myrmecological News","organisms","Austrian Society of Entomofaunistics","Non-profit","OA","Austrian Society of Entomofaunistics","Society","https://myrmecologicalnews.org/cms/","700","1.016","none"
"Neotropical Helminthology","organisms","Asociacion Peruana de Helmintologia e Invertebrados Afines","Non-profit","diamond_OA","Asociacion Peruana de Helmintologia e Invertebrados Afines","Society","https://www.neotropicalhelminthology.com/","0","","none"
"News of the Lepidopterists Society","organisms","The Lepidopterists' Society","Non-profit","diamond_OA","The Lepidopterists' Society / Peabody Museum of Natural History","Society","https://images.peabody.yale.edu/lepsoc/nls/","0","","none"
"Nota Lepidopterologica","organisms","Pensoft","For-profit","OA","Societas Europaea Lepidopterologica","Society","https://nl.pensoft.net/","250","0.483","none"
"Revista de la Sociedad Entomologica Argentina","organisms","Sociedad Entomologica Argentina","Non-profit","diamond_OA","Sociedad Entomologica Argentina","Non-profit","https://www.biotaxa.org/RSEA","","0.159","none"
"Systematic and Applied Acarology","organisms","Systematic and Applied Acarology Society","Non-profit","hybrid","Systematic and Applied Acarology Society","Society","https://www.biotaxa.org/saa","184","0.54","none"
"Cryptogamie Mycologie","organisms","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/mycologie","0","0.929","PCI friendly"
"Fungal Biology","organisms","Elsevier","For-profit","hybrid","British Mycological Society","Society","https://www.sciencedirect.com/journal/fungal-biology","1809","0.688","none"
"Fungal Biology Reviews","organisms","Elsevier","For-profit","subscription","British Mycological Society","Society","https://www.sciencedirect.com/journal/fungal-biology-reviews","","1.001","none"
"Fungal Diversity","organisms","Springer","For-profit","hybrid","Kunming Institute of Botany of the Chinese Academy of Sciences","Uni/Gov","https://www.springer.com/journal/13225","3580","6.674","none"
"Fungal Ecology","organisms","Elsevier","For-profit","subscription","British Mycological Society","Society","https://www.sciencedirect.com/journal/fungal-ecology","","0.972","none"
"IMA Fungus","organisms","Springer-Nature","For-profit","OA","International Mycological Association","Society","https://imafungus.biomedcentral.com/","1765","1.454","none"
"ISME Communications","organisms","Nature","For-profit","OA","International Society for Microbial Ecology","Society","https://www.nature.com/ismecomms/","1990","","none"
"ISME Journal","organisms","Nature","For-profit","hybrid","International Society for Microbial Ecology","Society","https://www.nature.com/ismej/","3060","3.344","none"
"Italian Journal of Mycology","organisms","Edizioni ETS","University Press","subscription","Mycological Society","Society","https://italianmycology.unibo.it/","","0.227","none"
"Journal of Applied Microbiology","organisms","Wiley","For-profit","hybrid","Society for Applied Microbiology","Society","https://sfamjournals.onlinelibrary.wiley.com/journal/13652672","3000","0.792","PCI friendly"
"Journal of Eukaryotic Microbiology","organisms","Wiley","For-profit","hybrid","International Society of Protistologists","Society","https://onlinelibrary.wiley.com/journal/15507408","2500","0.798","none"
"Journal of General Virology","organisms","Microbiology Society","Non-profit","hybrid","Microbiology Society","Society","https://www.microbiologyresearch.org/content/journal/jgv","2449","1.317","none"
"Journal of Microbiology and Biotechnology","organisms","Korean Society for Microbiology and Biotechnology","Non-profit","OA","Korean Society for Microbiology and Biotechnology","Society","https://www.jmb.or.kr/main.html","332","0.569","none"
"Letters in Applied Microbiology","organisms","Wiley","For-profit","hybrid","Society for Applied Microbiology","Society","https://sfamjournals.onlinelibrary.wiley.com/journal/1472765x","2850","0.593","PCI friendly"
"mBio","organisms","American Society for Microbiology","Non-profit","OA","American Society for Microbiology","Society","https://mbio.asm.org/","3577","2.767","none"
"Microbiology","organisms","Microbiology Society","Non-profit","hybrid","Microbiology Society","Society","https://www.microbiologyresearch.org/content/journal/jgv","2449","0.341","none"
"Microbiology Resource Announcements","organisms","American Society for Microbiology","Non-profit","OA","American Society for Microbiology","Society","https://mra.asm.org/","793","0.303","none"
"Microbiology Spectrum","organisms","American Society for Microbiology","Non-profit","OA","American Society for Microbiology","Society","https://journals.asm.org/journal/spectrum","2985","2.148","none"
"mSphere","organisms","American Society for Microbiology","Non-profit","OA","American Society for Microbiology","Society","https://journals.asm.org/journal/msphere","2116","1.376","none"
"mSystems","organisms","American Society for Microbiology","Non-profit","OA","American Society for Microbiology","Society","https://journals.asm.org/journal/msystems","1146","2.144","none"
"Mycologia","organisms","Taylor & Francis","For-profit","subscription","Mycological Society of America","Society","https://www.tandfonline.com/journals/umyc20","","0.9","none"
"Mycological Progress","organisms","Springer","For-profit","hybrid","German Mycological Society","Society","https://www.springer.com/journal/11557","2590","0.904","none"
"Mycosphere","organisms","Zhongkai University of Agriculture and Engineering","Non-profit","diamond_OA","Zhongkai University of Agriculture and Engineering","Uni/Gov","https://www.mycosphere.org/","0","2.881","none"
"Peer Community In Microbiology","organisms","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://onlinelibrary.wiley.com/journal/14679469","0","","PCI"
"Virologie","organisms","John Libbey","For-profit","hybrid","Societe Francaise de Virologie","Society","https://www.jle.com/fr/revues/vir/revue.phtml","400","0.145","none"
"Peer Community In Neuroscience","organisms","Peer Community In","Non-profit","diamond_OA","Peer Community In","Non-profit","https://archaeo.peercommunityin.org/","0","","PCI"
"Acta Botanica Brasilica","organisms","Sociedade Botanica do Brasil","Non-profit","OA","Sociedade Botanica do Brasil","Society","https://acta.botanica.org.br/","148","0.484","none"
"Adansonia","organisms","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/adansonia","0","0.239","PCI friendly"
"Alpine Botany","organisms","Springer","For-profit","hybrid","Swiss Botanical Society","Society","https://www.springer.com/journal/35","3060","0.732","none"
"American Fern Journal","organisms","American Fern Society","Non-profit","subscription","American Fern Society","Society","https://www.amerfernsoc.org/american-fern-journal","719","0.334","none"
"American Journal of Botany","organisms","Wiley","For-profit","hybrid","Botanical Society of America","Society","https://bsapubs.onlinelibrary.wiley.com/journal/15372197","1800","1.213","none"
"Annals of Botany","organisms","Oxford University Press","University Press","hybrid","The Annals of Botany Company","Non-profit","https://academic.oup.com/aob","2938","1.271","none"
"AOB Plants","organisms","Oxford University Press","University Press","OA","The Annals of Botany Company","Non-profit","https://academic.oup.com/aobpla/","1130","0.905","none"
"Applications in Plant Sciences","organisms","Wiley","For-profit","OA","Botanical Society of America","Society","https://bsapubs.onlinelibrary.wiley.com/journal/21680450","1680","0.68","none"
"Botanica Serbica","organisms","University of Belgrade","Non-profit","diamond_OA","University of Belgrade","Uni/Gov","https://botanicaserbica.bio.bg.ac.rs/","0","0.187","none"
"Botanical Journal of the Linnean Society","organisms","Oxford University Press","University Press","hybrid","Linnean Society","Society","https://academic.oup.com/botlinnean","2866","0.894","none"
"Botany","organisms","Canadian Science Publishing","For-profit","hybrid","Canadian Botanical Association / Canadian Society of Plant Biologists / Canadian Society of Ecology and Evolution","Society","https://cdnsciencepub.com/journal/cjb","2042","0.392","PCI friendly"
"Botany Letters","organisms","Taylor & Francis","For-profit","hybrid","Societe Botanique de France","Society","https://www.tandfonline.com/toc/tabg21","2895","0.419","PCI friendly"
"Bryologist","organisms","The American Bryological and Lichenological Society","Non-profit","hybrid","The American Bryological and Lichenological Society","Society","https://bioone.org/journals/the-bryologist/issues","926","0.513","none"
"Cryptogamie Algologie","organisms","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/algologie","0","0.407","PCI friendly"
"Cryptogamie Bryologie","organisms","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/bryologie","0","0.321","PCI friendly"
"European Journal of Phycology","organisms","Taylor & Francis","For-profit","hybrid","British Phycological Society","Society","https://www.tandfonline.com/toc/tejp20/current","3190","0.608","none"
"Flora Mediterranea","organisms","Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area","Non-profit","OA","Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area","Society","https://www.herbmedit.org/FlMedit.html","150","0.284","none"
"Fottea","organisms","Czech Phycological Society","Non-profit","diamond_OA","Czech Phycological Society","Society","https://fottea.czechphycology.cz/","0","0.619","none"
"Grana","organisms","Taylor & Francis","For-profit","hybrid","Collegium Palynologicum Scandinavicum /  International Association for Aerobiology","Society","https://www.palynology.info/grana/","2895","0.292","none"
"Italian Botanist","organisms","Pensoft","For-profit","OA","Italian Botanical Society","Society","https://italianbotanist.pensoft.net/","400","0.533","none"
"Journal of Bryology","organisms","Taylor & Francis","For-profit","hybrid","British Bryological Society","Society","https://www.tandfonline.com/toc/yjbr20/current","3190","0.472","none"
"Journal of Experimental Botany","organisms","Oxford University Press","University Press","hybrid","Society for Experimental Biology","Society","https://academic.oup.com/jxb","3351","1.913","none"
"Journal of Phycology","organisms","Wiley","For-profit","hybrid","Phycological Society of America","Society","https://onlinelibrary.wiley.com/journal/15298817","3090","0.727","none"
"Journal of Plant Research","organisms","Springer","For-profit","hybrid","Botanical Society of Japan","Society","https://link.springer.com/journal/10265","2790","0.702","none"
"Lankesteriana","organisms","Lankester Botanical Garden","Non-profit","subscription","Lankester Botanical Garden","other","http://lankesteriana.org/","","0.408","none"
"Lindbergia","organisms","BioOne","Non-profit","diamond_OA","Dutch Bryological and Lichenological Society /  Nordic Bryological Society","Society","https://www.lindbergia.org/","0","0.326","none"
"Mediterranean Botany","organisms","Universidad Complutense Madrid","Non-profit","diamond_OA","Universidad Complutense Madrid","Uni/Gov","https://revistas.ucm.es/index.php/MBOT","0","0.26","none"
"Nordic Journal of Botany","organisms","Wiley","For-profit","hybrid","Nordic Society Oikos","Society","https://onlinelibrary.wiley.com/journal/17561051","2060","0.347","PCI friendly"
"Ornis Fennica","organisms","BirdLife Finland","Non-profit","diamond_OA","BirdLife Finland","Non-profit","https://www.ornisfennica.org/","0","0.408","none"
"Phycologia","organisms","Taylor & Francis","For-profit","hybrid","International Phycological Society","Society","https://www.tandfonline.com/journals/uphy20","3170","0.595","none"
"Plant Biology","organisms","Wiley","For-profit","hybrid","German Society for Plant Sciences / Royal Botanical Society of the Netherlands","Society","https://onlinelibrary.wiley.com/journal/14388677","2580","0.807","none"
"Plant Direct","organisms","Wiley","For-profit","OA","American Society of Plant Biologists / Society for Experimental Biology","Society","https://onlinelibrary.wiley.com/journal/24754455","2180","0.95","none"
"Plant Journal","organisms","Wiley","For-profit","hybrid","Society for Experimental Biology","Society","https://onlinelibrary.wiley.com/journal/1365313x","4220","2.101","none"
"Plants People Planet","organisms","Wiley","For-profit","OA","New Phytologist Foundation","Non-profit","https://nph.onlinelibrary.wiley.com/journal/25722611","2420","1.009","none"
"South African Journal of Botany","organisms","Elsevier","For-profit","hybrid","South African Association of Botanists","Society","https://www.journals.elsevier.com/south-african-journal-of-botany","2529","0.479","none"
"Acta Chiropterologica","organisms","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Museum","https://bioone.org/journals/acta-chiropterologica/","","0.474","none"
"Acta Herpetologica","organisms","Firenze University Press","University Press","diamond_OA","Societas Herpetologica Italica","Society","https://oaj.fupress.net/index.php/ah/index","0","0.456","none"
"Acta Ornithologica","organisms","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Museum","https://bioone.org/journals/acta-ornithologica/","","0.289","none"
"American Journal of Primatology","organisms","Wiley-Blackwell","For-profit","subscription","The American Society of Primatologists","Society","https://onlinelibrary.wiley.com/journal/10982345","","0.84","none"
"Anatomical Record","organisms","Wiley","For-profit","hybrid","American Association of Anatomists","Society","https://anatomypubs.onlinelibrary.wiley.com/journal/19328494","3150","0.608","none"
"Annals of Anatomy - Anatomischer Anzeiger","organisms","Elsevier","For-profit","hybrid","Anatomische Gesellschaft","Society","https://www.sciencedirect.com/journal/annals-of-anatomy-anatomischer-anzeiger","3850","","none"
"Ardea","organisms","Netherland Ornithologist Union","Non-profit","hybrid","Netherland Ornithologist Union","Society","http://ardea.nou.nu/","600","0.42","none"
"Ardeola","organisms","SEO/BirdLife","Non-profit","subscription","SEO/BirdLife","Non-profit","https://www.ardeola.org/en/","","0.516","none"
"Arxius de Miscel-Lania Zoologica","organisms","Museu de Ciencies Naturals de Barcelona","Non-profit","diamond_OA","Museu de Ciencies Naturals de Barcelona","Museum","https://museucienciesjournals.cat/en/amz/info/que-es","0","","none"
"Bird Study","organisms","Taylor & Francis","For-profit","subscription","British Trust for Ornithology","Non-profit","https://www.tandfonline.com/toc/tbis20/current","","0.376","none"
"Boletim da Sociedade Brasileira de Mastozoologia","organisms","Sociedade Brasileira de Mastozoologia","Non-profit","OA","Sociedade Brasileira de Mastozoologia","Society","https://www.sbmz.org/","300","","none"
"Bulletin de la Societe Herpetologique de France","organisms","Societe Herpetologique de France","Non-profit","subscription","Societe Herpetologique de France","Society","http://lashf.org/bshf/","","","none"
"Current Herpetology","organisms","Herpetological Society of Japan","Non-profit","subscription","Herpetological Society of Japan","Society","http://herpetology.jp/CurHerp/","","0.368","none"
"Cybium","organisms","Societe Francaise d'Ichtyologie","Non-profit","subscription","Societe Francaise d'Ichtyologie","Society","http://sfi-cybium.fr/fr/cybium-revue-internationale-dichtyologie","","0.305","none"
"Developmental Dynamics: An Official Publication of the American Association of Anatomists","organisms","Wiley","For-profit","hybrid","American Association for Anatomy","Society","https://anatomypubs.onlinelibrary.wiley.com/journal/10970177","3610","","none"
"Folia Primatologica","organisms","Karger","For-profit","hybrid","European Federation for Primatology /  Primate Society of Great Britain","Society","https://www.karger.com/Journal/Home/223842","3000","0.4","none"
